Tarih ,KDV ,Kurşunsuz Benzin 95 TL/LT ,Motorin Eco Force TL/LT ,Motorin TL/LT ,Gazyağı TL/LT ,Fuel Oil ,Yuksek Kukurtlu Fuel Oil ,Kalorifer Yakıtı 
07.11.2017,(KDV'li),5.5,4.94,4.97,4.17,2.8,2.47,3.02
08.11.2017,(KDV'li),5.5,4.94,4.97,4.17,2.87,2.54,3.1
09.11.2017,(KDV'li),5.63,4.94,4.97,4.17,2.87,2.54,3.1
10.11.2017,(KDV'li),5.63,4.94,4.97,4.31,2.87,2.54,3.1
11.11.2017,(KDV'li),5.63,5.05,5.08,4.31,2.87,2.54,3.1
21.11.2017,(KDV'li),5.63,5.05,5.08,4.31,2.82,2.51,3.07
22.11.2017,(KDV'li),5.57,5.05,5.08,4.31,2.82,2.51,3.07
24.11.2017,(KDV'li),5.65,5.05,5.08,4.31,2.82,2.51,3.07
08.12.2017,(KDV'li),5.51,5.05,5.08,4.31,2.82,2.51,3.07
09.12.2017,(KDV'li),5.51,5.05,5.08,4.31,2.73,2.4,2.98
14.12.2017,(KDV'li),5.59,5.05,5.08,4.31,2.73,2.4,2.98
22.12.2017,(KDV'li),5.59,5.05,5.08,4.31,2.83,2.47,3.07
01.01.2018,(KDV'li),5.59,5.05,5.08,4.31,2.83,2.47,3.07
06.01.2018,(KDV'li),5.59,5.14,5.17,4.31,2.83,2.47,3.07
09.01.2018,(KDV'li),5.59,5.14,5.17,4.31,2.88,2.51,3.13
12.01.2018,(KDV'li),5.59,5.14,5.17,4.43,2.88,2.51,3.13
16.01.2018,(KDV'li),5.68,5.14,5.17,4.43,2.88,2.51,3.13
25.01.2018,(KDV'li),5.8,5.14,5.17,4.43,2.88,2.51,3.13
09.02.2018,(KDV'li),5.65,5.14,5.17,4.43,2.88,2.51,3.13
10.02.2018,(KDV'li),5.65,5.14,5.17,4.43,2.77,2.44,3.03
14.02.2018,(KDV'li),5.55,4.98,5.01,4.29,2.77,2.44,3.03
24.02.2018,(KDV'li),5.55,5.12,5.15,4.44,2.77,2.44,3.03
28.02.2018,(KDV'li),5.66,5.12,5.15,4.44,2.77,2.44,3.03
14.03.2018,(KDV'li),5.66,5.12,5.15,4.32,2.77,2.44,3.03
21.03.2018,(KDV'li),5.81,5.12,5.15,4.32,2.86,2.52,3.15
22.03.2018,(KDV'li),5.81,5.12,5.15,4.47,2.86,2.52,3.15
23.03.2018,(KDV'li),5.81,5.29,5.32,4.47,2.86,2.52,3.15
27.03.2018,(KDV'li),5.94,5.29,5.32,4.47,2.86,2.52,3.15
28.03.2018,(KDV'li),5.94,5.29,5.32,4.58,2.86,2.52,3.15
29.03.2018,(KDV'li),5.94,5.29,5.32,4.58,2.92,2.59,3.25
12.04.2018,(KDV'li),5.94,5.47,5.5,4.58,2.92,2.59,3.25
13.04.2018,(KDV'li),5.94,5.6,5.63,4.85,3.09,2.73,3.45
14.04.2018,(KDV'li),6.1,5.6,5.63,4.85,3.09,2.73,3.45
08.05.2018,(KDV'li),6.1,5.6,5.63,4.85,3.23,2.88,3.59
09.05.2018,(KDV'li),6.08,5.53,5.53,4.85,3.23,2.88,3.59
10.05.2018,(KDV'li),6.08,5.53,5.56,4.85,3.23,2.88,3.59
11.05.2018,(KDV'li),6.08,5.53,5.56,5.07,3.23,2.88,3.59
12.05.2018,(KDV'li),6.08,5.53,5.56,5.07,3.35,2.99,3.71
15.05.2018,(KDV'li),6.26,5.69,5.72,5.07,3.35,2.99,3.71
17.05.2018,(KDV'li),6.26,5.69,5.72,5.07,3.48,3.14,3.86
22.05.2018,(KDV'li),6.26,5.69,5.72,5.29,3.58,3.26,3.97
25.05.2018,(KDV'li),6.26,5.69,5.72,5.55,3.79,3.47,4.23
26.05.2018,(KDV'li),6.26,5.69,5.72,5.55,3.69,3.37,4.12
29.05.2018,(KDV'li),6.26,5.69,5.72,5.37,3.69,3.37,4.12
30.05.2018,(KDV'li),6.26,5.69,5.72,5.37,3.55,3.23,3.96
31.05.2018,(KDV'li),6.26,5.69,5.72,5.24,3.55,3.23,3.96
02.06.2018,(KDV'li),6.26,5.69,5.72,5.24,3.55,3.23,3.96
03.07.2018,(KDV'li),6.26,5.69,5.72,5.24,3.64,3.37,4
17.07.2018,(KDV'li),6.26,5.69,5.72,5.24,3.64,3.37,4
18.07.2018,(KDV'li),6.26,5.69,5.72,5.24,3.64,3.37,4
31.07.2018,(KDV'li),6.26,5.69,5.72,5.41,3.64,3.37,4
01.08.2018,(KDV'li),6.26,5.69,5.72,5.41,3.77,3.49,4.16
10.08.2018,(KDV'li),6.27,5.69,5.72,5.59,3.86,3.57,4.3
14.08.2018,(KDV'li),6.27,5.69,5.72,6.07,4.22,3.93,4.74
15.08.2018,(KDV'li),6.27,5.69,5.72,6.71,4.68,4.38,5.31
16.08.2018,(KDV'li),6.86,6.23,6.26,6.48,4.49,4.2,5.09
17.08.2018,(KDV'li),6.86,6.23,6.26,6.08,4.17,3.89,4.72
18.08.2018,(KDV'li),6.88,6.26,6.29,5.89,4.04,3.76,4.55
28.08.2018,(KDV'li),6.88,6.26,6.29,6.24,4.32,4.01,4.87
29.08.2018,(KDV'li),6.9,6.27,6.31,6.38,4.43,4.11,5
01.09.2018,(KDV'li),6.9,6.27,6.31,6.59,4.6,4.27,5.2
04.09.2018,(KDV'li),6.9,6.27,6.31,6.59,4.6,4.27,5.2
05.09.2018,(KDV'li),6.91,6.29,6.33,6.81,4.71,4.34,5.35
13.09.2018,(KDV'li),6.91,6.29,6.33,6.64,4.61,4.28,5.22
18.09.2018,(KDV'li),6.91,6.29,6.33,6.3,4.35,4.01,4.91
19.09.2018,(KDV'li),6.91,6.29,6.33,6.45,4.46,4.12,5.04
26.09.2018,(KDV'li),6.92,6.3,6.35,6.45,4.46,4.12,5.04
27.09.2018,(KDV'li),6.92,6.3,6.35,6.45,4.59,4.22,5.17
03.10.2018,(KDV'li),6.94,6.32,6.37,6.45,4.59,4.22,5.17
04.10.2018,(KDV'li),6.94,6.32,6.37,6.68,4.59,4.22,5.17
06.10.2018,(KDV'li),6.94,6.32,6.37,6.68,4.88,4.45,5.45
09.10.2018,(KDV'li),6.94,6.32,6.37,6.68,4.88,4.45,5.45
12.10.2018,(KDV'li),6.96,6.34,6.39,6.68,4.88,4.45,5.45
16.10.2018,(KDV'li),6.96,6.34,6.39,6.68,4.57,4.17,5.11
17.10.2018,(KDV'li),6.96,6.34,6.39,6.68,4.57,4.17,5.11
18.10.2018,(KDV'li),6.96,6.34,6.39,6.35,4.57,4.17,5.11
19.10.2018,(KDV'li),6.96,6.34,6.39,6.35,4.39,4.03,4.91
20.10.2018,(KDV'li),6.96,6.34,6.39,6.35,4.39,4.03,4.91
24.10.2018,(KDV'li),6.98,6.36,6.41,6.35,4.39,4.03,4.91
25.10.2018,(KDV'li),6.98,6.36,6.41,6.35,4.39,4.03,4.91
27.10.2018,(KDV'li),6.98,6.36,6.41,6.35,4.39,4.03,4.91
31.10.2018,(KDV'li),6.98,6.36,6.41,6.15,4.39,4.03,4.91
01.11.2018,(KDV'li),6.98,6.36,6.41,6.15,4.39,4.03,4.91
02.11.2018,(KDV'li),6.99,6.37,6.42,6.15,4.39,4.03,4.91
03.11.2018,(KDV'li),6.82,6.37,6.42,5.92,4.39,4.03,4.91
06.11.2018,(KDV'li),6.82,6.37,6.42,5.92,4.17,3.87,4.62
07.11.2018,(KDV'li),6.82,6.37,6.42,5.92,4.17,3.87,4.62
08.11.2018,(KDV'li),6.62,6.37,6.42,5.73,4.17,3.87,4.62
09.11.2018,(KDV'li),6.62,6.37,6.42,5.73,4.08,3.72,4.55
10.11.2018,(KDV'li),6.62,6.37,6.42,5.73,4.08,3.72,4.55
17.11.2018,(KDV'li),6.62,6.37,6.42,5.73,3.93,3.57,4.38
20.11.2018,(KDV'li),6.43,6.37,6.42,5.73,3.93,3.57,4.38
22.11.2018,(KDV'li),6.43,6.37,6.42,5.45,3.77,3.41,4.18
23.11.2018,(KDV'li),6.43,6.24,6.29,5.45,3.77,3.41,4.18
24.11.2018,(KDV'li),6.29,6.24,6.29,5.45,3.77,3.41,4.18
27.11.2018,(KDV'li),6.14,6.02,6.07,5.21,3.57,3.21,3.94
28.11.2018,(KDV'li),6.14,6.03,6.08,5.21,3.57,3.21,3.94
05.12.2018,(KDV'li),6.14,5.95,6,5.13,3.57,3.21,3.94
06.12.2018,(KDV'li),6.14,5.95,6,5.23,3.57,3.21,3.94
20.12.2018,(KDV'li),6.14,5.95,6,5.23,3.32,2.93,3.7
21.12.2018,(KDV'li),6.14,5.95,6,5.06,3.32,2.93,3.7
22.12.2018,(KDV'li),6.14,5.95,6,4.93,3.32,2.93,3.7
25.12.2018,(KDV'li),5.87,5.67,5.72,4.93,3.2,2.79,3.55
01.01.2019,(KDV'li),5.87,5.67,5.72,4.93,3.2,2.79,3.55
