yil_ay,alisveris_adet, nakit_cekim_adet,toplam_adet,alisveris_tutar(M),nakit_cekim_tutar(M),toplam_tutar(M)
201901,326883474,8660750,335544224,60551,7086,67637
201902,301782731,8172733,309955464,55971,6600,62571
201801,296054559,7997215,304051774,52492,5797,58289
201802,269895532,7584631,277480163,47579,5421,53001
201803,308003695,8664979,316668674,55512,6196,61708
201804,309699181,8439808,318138989,54909,6480,61390
201805,316522198,8486983,325009181,59552,6527,66079
201806,307454993,7370552,314825545,56686,5687,62373
201807,330490683,8137387,338628070,63416,6259,69675
201808,310773870,7648063,318421933,60023,5979,66002
201809,317410846,7898865,325309711,63455,6035,69491
201810,325938823,8578587,334517410,61335,6647,67983
201811,321069831,8506556,329576387,61584,6711,68295
201812,338256876,8992441,347249317,62831,7608,70439
201711,282207281,7626480,289833761,51382,5257,56640
201712,303977324,8062101,312039425,54076,5707,59784
